Date,Open,High,Low,Close,Adj Close,Volume,24h Open (USD),24h High (USD),24h Low (USD),Gas Fee (Wei),Circulating Marketcap,Volatility,Hash Rate,Average Difficulty,Total Fees,Average Transaction Fees
2018-08-04,418.237,420.186005,403.776001,407.252014,407.252014,1466540000,417.643349,419.049463,401.321738,9924637420,41742816449,0.627250196,247.7108389,3.57E+15,44059.42318,0.072468064
2018-08-05,407.346008,413.716003,402.432007,410.515991,410.515991,1396820000,406.671593,413.091718,400.712998,8072326506,40678113696,0.627506356,244.944694,3.57E+15,52762.61766,0.079018366
2018-08-06,410.566986,414.540009,403.315002,406.65799,406.65799,1384880000,409.02478,412.893876,401.047362,12535927147,40864903923,0.627101463,246.4496931,3.60E+15,65705.66239,0.087750759
2018-08-07,406.800995,411.404999,376.076996,380.214996,380.214996,1828350000,404.922315,410.093703,369.512815,25250639628,40491691655,0.646497266,242.49954,3.57E+15,72936.64983,0.094398168
2018-08-08,379.891998,380.67099,353.734009,356.613007,356.613007,2016080000,378.075725,380.300805,348.243727,57398987243,37799439152,0.668704382,247.7091794,3.59E+15,74586.1744,0.097448715
2018-08-09,356.971008,370.946014,353.614014,365.588013,365.588013,1616610000,355.18,370.135435,351,53118840657,35577187178,0.673477041,247.4988547,3.61E+15,78267.88984,0.098835572
2018-08-10,365.776001,367.045013,329.585999,334.175995,334.175995,1699400000,363.908528,365.979872,326.532379,34476266415,36386981693,0.681102256,245.7264801,3.58E+15,80050.99096,0.099909129
2018-08-11,334.264008,334.264008,308.488007,322.112,322.112,1790370000,331.367753,331.990162,305.571987,14836056985,33184986042,0.677224005,244.6318884,3.55E+15,61263.25158,0.08210086
2018-08-12,320.822998,328.589996,318.60199,319.570007,319.570007,1625420000,318.055976,327.480221,314.657024,10976239504,31834688809,0.673668171,235.7957365,3.49E+15,68561.58873,0.079954926
2018-08-13,320.209991,323.550995,284.93399,286.494995,286.494995,1751190000,318.13376,321.732536,281.3727,14813774854,31860549635,0.748268971,237.8771782,3.50E+15,95215.7523,0.115811988
2018-08-14,286.36499,286.36499,254.649994,278.932007,278.932007,2137850000,284.024217,284.0243,250.629816,16051359286,28439776358,0.746837621,244.2301299,3.55E+15,121996.0091,0.141196306
2018-08-15,280.386993,303.589996,280.118988,282.364014,282.364014,1878150000,278.341918,304.779809,276.956887,15051933577,27917242451,0.731028448,242.2001468,3.51E+15,72228.7324,0.093994345
2018-08-16,282.740997,298.476013,280.928009,288.04599,288.04599,1552970000,281.075906,298.76,278.172696,12638796914,28168840705,0.688033627,236.3438,3.44E+15,89463.70509,0.117237197
2018-08-17,287.683014,316.170013,287.346008,315.729004,315.729004,1995460000,286.852725,317.753388,285.466963,39211744629,28738264574,0.780760153,235.4742244,3.48E+15,160932.8532,0.205246888
2018-08-18,316.790985,320.446014,286.550995,295.812012,295.812012,1764020000,317.542201,321.266866,283.537852,16113373784,31842212268,0.799167441,234.3384286,3.44E+15,64765.3436,0.098479508
2018-08-19,295.670013,307.097992,291.332001,300.834015,300.834015,1447910000,294.058682,306.41,289.794713,14361319521,29574586911,0.806600578,238.0980924,3.47E+15,71530.82241,0.104910054
2018-08-20,301.381012,304.372009,273.510986,274.315002,274.315002,1413790000,299.946877,303.868581,269.34001,12426913415,30027046178,0.847730584,239.9439881,3.49E+15,660930.2109,0.779447549
2018-08-21,273.330994,285.970001,273.330994,281.944,281.944,1164120000,270.758766,285.172352,270.024993,13046942385,27118303229,0.855349467,242.5869652,3.52E+15,564103.9993,0.741480136
2018-08-22,281.967987,297.485992,264.997986,271.341003,271.341003,1507660000,281.040403,298.650001,259.959365,17019976734,28208388078,0.85837059,246.303554,3.59E+15,114050.9434,0.159944666
2018-08-23,271.747986,279.54599,271.089996,277.104004,277.104004,1271160000,269.947612,280.367477,268.710835,14051914381,27134692331,0.867649408,233.8693364,3.45E+15,94512.51182,0.124262428
2018-08-24,278.110992,283.302002,273.859985,282.96701,282.96701,1450170000,275.796216,283.007589,270.577149,21501969162,27684217476,0.830106017,236.1503894,3.43E+15,149697.4239,0.190919892
2018-08-25,283.281006,283.515015,278.471008,279.645996,279.645996,1208360000,281.385581,282.7876,276.551983,11428670781,28240387791,0.83013358,240.104792,3.50E+15,138142.159,0.20849601
2018-08-26,279.524994,279.524994,272.444,275.196991,275.196991,1206650000,277.917673,277.918125,270.098145,16106529314,27864935916,0.829946768,245.7694974,3.57E+15,87924.53369,0.139343341
2018-08-27,275.350006,285.602997,273.649994,285.602997,285.602997,1406790000,274.252912,288.124026,272.030649,12387120423,27540380448,0.853990233,240.353362,3.50E+15,98123.43402,0.144981647
2018-08-28,286.648987,297.399994,283.571991,296.498993,296.498993,1513350000,288.125315,297.535213,282.949943,12808584631,28927015279,0.854000791,238.3042346,3.49E+15,98989.39495,0.137463506
2018-08-29,296.162994,297.071014,287.286987,289.312012,289.312012,1474460000,295.72837,296.799013,284.492707,17290135695,29689031793,0.853741561,235.5799724,3.46E+15,84581.31139,0.127388016
2018-08-30,289.752991,291.243011,275.210999,284.105011,284.105011,1513100000,288.07,290.611706,272.22073,13559213793,28999747127,0.853307909,234.8474591,3.43E+15,83800.73277,0.126698406
2018-08-31,284.119995,284.550995,278.513,283.003998,283.003998,1411910000,284.377076,284.583079,276.841229,14419214330,28560017846,0.842879004,238.8189138,3.47E+15,81955.88427,0.120262143
2018-09-01,283.496002,301.144012,283.496002,295.341003,295.341003,1546630000,281.676913,302.131619,281.646419,11043181909,28318339135,0.867029457,233.2637068,3.43E+15,75411.09183,0.119985826
2018-09-02,295.453003,298.686005,290.925995,294.371002,294.371002,1321050000,295.184307,298.72,289.207726,10276825820,29709547003,0.866782391,236.2534695,3.39E+15,71820.92952,0.115753394
2018-09-03,295.181,295.591003,287.432007,289.259003,289.259003,1394490000,294.834803,295.937569,285.69899,12111122355,29693303990,0.862365126,232.0784186,3.41E+15,106444.8607,0.154560459
2018-09-04,289.296997,291.579987,284.255005,285.722992,285.722992,1554870000,288.636721,291.990766,282.30893,13885223845,29068765773,0.860902278,234.7137072,3.39E+15,123799.7639,0.173272054
2018-09-05,286.045013,288.162994,232.330994,232.330994,232.330994,2390390000,285.170592,287.27206,226.576383,12606166478,28695947826,1.067737444,236.8708451,3.44E+15,191365.594,0.271467898
2018-09-06,231.647995,231.755005,218.123001,230.214996,230.214996,2097310000,227.856003,232.181847,211.355228,14951867224,22947517847,1.070226806,238.0422276,3.40E+15,118299.7375,0.17649907
2018-09-07,229.535004,233.895996,217.074997,217.203003,217.203003,1678260000,228.940585,233.77963,214.162499,14734121984,23090392503,1.068261044,232.8699089,3.40E+15,108200.0113,0.157335607
2018-09-08,217.912003,220.367004,193.259003,197.951004,197.951004,1517200000,214.985121,219.38,190.494902,12166983189,21652001335,1.084415424,231.976969,3.38E+15,99466.04782,0.164056883
2018-09-09,198.384995,207.666,188.306,196.923996,196.923996,1585980000,196.817918,208.115951,185.621791,12538460676,19807878188,1.075979339,219.2109381,3.21E+15,80143.05128,0.132280038
2018-09-10,197.850998,201.882996,189.584,197.078995,197.078995,1502960000,195.52,202.221948,186.734332,13452874427,19735240829,1.05178084,223.9210199,3.22E+15,91098.6053,0.135858164
2018-09-11,198.177002,198.505997,180.595993,185.065994,185.065994,1568900000,196.832015,198.83955,176.027204,15682663024,19860981944,1.059530821,222.1233632,3.20E+15,133219.4443,0.193183649
2018-09-12,185.423004,185.587006,170.257004,183.330994,183.330994,1874850000,184.823015,184.944147,167.399911,16182751014,18647201189,1.058521769,219.1977933,3.13E+15,127733.1598,0.183567646
2018-09-13,183.679001,214.001999,183.679001,211.354004,211.354004,2330720000,182.775096,214.804593,182.775096,16645393282,18444400209,1.157187342,211.9599206,3.05E+15,127361.607,0.173521195
2018-09-14,212.669006,222.794006,204.871002,211.748993,211.748993,2232190000,211.255123,223.770623,202.66698,14645624925,21281527387,1.156641688,220.7228127,3.14E+15,128108.2109,0.184231341
2018-09-15,209.813995,226.604004,209.606003,223.074005,223.074005,1670490000,210.087761,226.894449,208.37201,13261799419,21040831241,1.176661518,220.3509853,3.15E+15,154925.3243,0.234206601
2018-09-16,222.802994,222.802994,211.117996,220.589005,220.589005,1502260000,222.441392,223.140564,207.419948,13161379589,22337768717,1.172908065,221.436593,3.13E+15,132047.1056,0.188867792
2018-09-17,221.582001,224.261002,195.307999,197.875,197.875,2019910000,219.906166,224.60363,192.422835,15406825205,22200668268,1.151399307,220.9889819,3.14E+15,148974.0124,0.193014772
2018-09-18,197.095001,213.356995,195.934006,209.975006,209.975006,1800640000,196.220457,214.521402,194.299232,25201881762,19772104581,1.161443505,219.6884958,3.18E+15,145269.5717,0.189953713
2018-09-19,209.472,213.871002,201.656006,209.968994,209.968994,1733330000,208.581715,214.412782,197.740207,19871422869,21016141918,1.158274522,224.7060312,3.17E+15,157839.5114,0.197753728
2018-09-20,210.287994,224.817993,207.789001,224.591003,224.591003,1782070000,209.534216,227.093379,206.995446,15892963469,21169835418,1.149733238,221.1197922,3.18E+15,101137.6771,0.142592033
2018-09-21,225.251007,248.388,221.567001,246.584,246.584,2836200000,224.422192,251.82,221.063297,18242050701,22680832498,1.198284565,219.2019428,3.11E+15,87827.64727,0.131329098
2018-09-22,247.337006,251.195999,233.809998,240.479996,240.479996,1921820000,247.658258,254.197889,233.00864,14429730599,25009686316,1.195426357,229.091363,3.28E+15,84164.35246,0.133885145
2018-09-23,240.992004,247.464005,237.856995,244.330002,244.330002,1693470000,240.662732,248.902916,237.157884,13141149214,24322353703,1.194019879,228.6209441,3.25E+15,88553.35178,0.133837355
2018-09-24,244.843994,245.108002,227.490005,228.729996,228.729996,1748740000,244.446381,245.441691,225.26471,16838604807,24702078297,1.211223908,229.6537,3.26E+15,108717.1352,0.173599662
2018-09-25,228.326996,228.326996,206.490005,218.505005,218.505005,2120360000,228.062451,228.062451,203.511351,16972035503,23017439504,1.215800315,227.992341,3.22E+15,103232.2642,0.170208431
2018-09-26,218.647003,221.436996,209.113007,215.847,215.847,1756100000,218.904024,222.381717,207.437253,16344658408,22152642189,1.216747563,232.2619311,3.28E+15,89895.97987,0.147182259
2018-09-27,215.440002,230.606995,212.654007,228.494003,228.494003,2030320000,214.098926,233.456831,210.079393,16744302672,21642635781,1.228894328,230.7607913,3.28E+15,66975.42083,0.127699687
2018-09-28,229.041,231.748001,218.669006,222.401993,222.401993,2018120000,228.86377,233.551743,214.989628,18138439166,23157249846,1.232160517,231.8801362,3.29E+15,60969.22437,0.098148918
2018-09-29,221.705002,234.014008,216.078003,231.634995,231.634995,2208720000,221.194708,235.434335,213.908399,21874799566,22392969877,1.242609934,230.5101866,3.27E+15,52394.04607,0.098839161
2018-09-30,231.328995,236.985992,228.445007,232.848007,232.848007,1765560000,230.97037,237.998852,225.858241,16556363668,23399822941,1.2426759,230.778775,3.26E+15,50333.12676,0.092225584
2018-10-01,233.220001,234.145004,226.945007,230.768005,230.768005,1597500000,231.867045,234.613306,224.07894,18941010255,23532592640,1.242673269,228.6451275,3.24E+15,55008.08174,0.094295581
2018-10-02,231.100006,231.167007,225.837997,227.181,227.181,1542080000,230.322674,230.71889,221.850302,19034870185,23379199439,1.230351278,229.7179821,3.21E+15,56967.35517,0.100639791
2018-10-03,226.406998,226.457993,213.970993,220.488998,220.488998,1683930000,224.747384,224.843847,214.990322,13248714205,22796688990,1.231264236,226.8309054,3.23E+15,47060.13878,0.085326681
2018-10-04,220.445999,226.147995,220.089996,222.218002,222.218002,1479500000,219.036729,225.180637,218.35,13254100643,22256400774,1.23120967,232.008832,3.26E+15,45666.32438,0.086771257
2018-10-05,222.266998,228.319,220.957001,227.600998,227.600998,1547330000,220.986995,229.87,218.704685,13568425987,22454730099,1.235738511,231.3373749,3.28E+15,39847.66044,0.083618535
2018-10-06,227.552002,227.925995,224.246002,225.119995,225.119995,1505070000,226.839448,226.958295,222.448572,9435830094,23060590653,1.035647558,234.406959,3.25E+15,32333.61859,0.075398037
2018-10-07,225.434998,226.369995,222.996002,226.119003,226.119003,1470480000,223.819283,225.647301,220.54058,11769350664,22664228479,1.035657838,236.5952106,3.28E+15,30520.20604,0.070078427
2018-10-08,226.509003,230.764999,224.557007,229.255005,229.255005,1470740000,224.758332,230.228235,222.614072,14576687784,22850237747,1.01299714,236.8963287,3.31E+15,40801.41533,0.08207311
2018-10-09,229.710007,230.160995,226.401001,227.981995,227.981995,1405130000,227.807811,228.390122,225.0381,12984496071,23254110783,0.965338648,234.1355887,3.29E+15,41483.1463,0.075078133
2018-10-10,227.615005,227.707001,224.494995,225.768997,225.768997,1384040000,226.196038,226.196038,221.568634,15893091379,23040319761,0.96657945,235.2172552,3.29E+15,42376.63739,0.08248221
2018-10-11,225.610001,225.610001,189.283005,189.498993,189.498993,2167620000,223.409,223.409,185.094803,15385072382,22826858921,1.114968626,228.8924604,3.22E+15,46397.90356,0.083007259
2018-10-12,188.707001,199.401001,188.707001,196.727005,196.727005,1487900000,188.235741,197.710139,187.181873,29285035983,19222997449,1.098451467,231.1756498,3.24E+15,49508.20566,0.082614741
2018-10-13,196.363998,201.279007,196.363998,199.841003,199.841003,1167610000,193.918437,198.466277,193.45,11594824099,19845409964,1.098601386,228.5307746,3.20E+15,54131.77737,0.087966513
2018-10-14,199.690994,201.826996,195.242996,195.714996,195.714996,1169260000,196.7407,199.174747,189.720336,11723908779,20239570064,0.969568846,230.441569,3.22E+15,60392.35534,0.096133871
2018-10-15,195.270004,222.117996,194.158997,209.703995,209.703995,2865830000,191.998569,219.514211,190.075804,15629941859,19752786273,1.005576682,226.8573154,3.22E+15,63235.21098,0.093466337
2018-10-16,209.628006,212.173004,207.983994,210.119995,210.119995,1532280000,204.500001,207.590662,202.663889,12735518129,21382287889,0.985408223,226.8401775,3.21E+15,56217.48339,0.081046009
2018-10-17,210.216995,211.125,205.927994,207.082993,207.082993,1444130000,205.619301,206.217216,201.442105,13443082264,21287004501,0.985326607,226.3143323,3.19E+15,67469.00589,0.096605244
2018-10-18,207.404007,208.470001,201.742996,203.352005,203.352005,1365860000,203.46319,205.14,197.142568,13150134317,21096403473,0.91559097,230.1233659,3.24E+15,83872.09349,0.124856484
2018-10-19,203.257004,204.662994,201.843994,203.727005,203.727005,1264480000,199.086743,201.282502,197.663119,13701804233,20567257086,0.892019168,225.6049297,3.21E+15,49450.04562,0.087461987
2018-10-20,203.514999,206.222,203.085007,205.429993,205.429993,1238780000,200.119145,203.84,199.27807,13289407017,20578725707,0.89204785,225.1490119,3.16E+15,41980.86475,0.080123647
2018-10-21,205.389999,208.154999,204.621002,205.141998,205.141998,1190300000,202.656561,205.44,201.453391,12030570166,20794969398,0.858282796,221.7591993,3.13E+15,44716.12656,0.081359444
2018-10-22,205.173996,206.932007,203.376999,204.044006,204.044006,1328980000,202.164871,202.978803,199.69048,13162272626,20794651212,0.775057994,218.6734793,3.11E+15,59160.47411,0.097770555
2018-10-23,204.016006,205.151001,201.910995,204.335999,204.335999,1237490000,201.168786,201.949265,197.950502,14521834338,20695898587,0.771909845,221.3270496,3.10E+15,47532.39103,0.076492545
2018-10-24,204.126999,205.580994,203.354004,203.852005,203.852005,1102220000,201.105003,202.479656,200.373561,15173388388,20742214154,0.768599577,223.0738817,3.15E+15,59716.4909,0.091333221
2018-10-25,203.867996,204.132004,201.822998,202.718994,202.718994,1102900000,200.684323,200.866189,198.064375,16014791521,20618216338,0.737618606,221.2371208,3.12E+15,50340.05657,0.077868167
